9606.ENSP00000177694	1
9606.ENSP00000008527	0
9606.ENSP00000206423	1
9606.ENSP00000000412	0
9606.ENSP00000206765	1
9606.ENSP00000013807	0
9606.ENSP00000219235	1
9606.ENSP00000004982	0
9606.ENSP00000219244	1
9606.ENSP00000005178	0
9606.ENSP00000221930	1
9606.ENSP00000379138	0
9606.ENSP00000225371	1
9606.ENSP00000002165	0
9606.ENSP00000225831	1
9606.ENSP00000156109	0
9606.ENSP00000226574	1
9606.ENSP00000216492	0
9606.ENSP00000231449	1
9606.ENSP00000276414	0
9606.ENSP00000231454	1
9606.ENSP00000216714	0
9606.ENSP00000233954	1
9606.ENSP00000002829	0
9606.ENSP00000242057	1
9606.ENSP00000218099	0
9606.ENSP00000246657	1
9606.ENSP00000020945	0
9606.ENSP00000249887	1
9606.ENSP00000001146	0
9606.ENSP00000250378	1
9606.ENSP00000043402	0
9606.ENSP00000252244	1
9606.ENSP00000005257	0
9606.ENSP00000256906	1
9606.ENSP00000011292	0
9606.ENSP00000257192	1
9606.ENSP00000037243	0
9606.ENSP00000259631	1
9606.ENSP00000005226	0
9606.ENSP00000260010	1
9606.ENSP00000221496	0
9606.ENSP00000262209	1
9606.ENSP00000053867	0
9606.ENSP00000263087	1
9606.ENSP00000017003	0
9606.ENSP00000263339	1
9606.ENSP00000256999	0
9606.ENSP00000263851	1
9606.ENSP00000155840	0
9606.ENSP00000264072	1
9606.ENSP00000037502	0
9606.ENSP00000264246	1
9606.ENSP00000167588	0
9606.ENSP00000264260	1
9606.ENSP00000000233	0
9606.ENSP00000264657	1
9606.ENSP00000265070	0
9606.ENSP00000264832	1
9606.ENSP00000270349	0
9606.ENSP00000269576	1
9606.ENSP00000053243	0
9606.ENSP00000271835	1
9606.ENSP00000005340	0
9606.ENSP00000274276	1
9606.ENSP00000003302	0
9606.ENSP00000274520	1
9606.ENSP00000054668	0
9606.ENSP00000276927	1
9606.ENSP00000302100	0
9606.ENSP00000280357	1
9606.ENSP00000237837	0
9606.ENSP00000281834	1
9606.ENSP00000075120	0
9606.ENSP00000288167	1
9606.ENSP00000002596	0
9606.ENSP00000289429	1
9606.ENSP00000173229	0
9606.ENSP00000293328	1
9606.ENSP00000164139	0
9606.ENSP00000295522	1
9606.ENSP00000160373	0
9606.ENSP00000295694	1
9606.ENSP00000005260	0
9606.ENSP00000296435	1
9606.ENSP00000176195	0
9606.ENSP00000296545	1
9606.ENSP00000199280	0
9606.ENSP00000296795	1
9606.ENSP00000176183	0
9606.ENSP00000296870	1
9606.ENSP00000200676	0
9606.ENSP00000296871	1
9606.ENSP00000263233	0
9606.ENSP00000297439	1
9606.ENSP00000169298	0
9606.ENSP00000298690	1
9606.ENSP00000004531	0
9606.ENSP00000299440	1
9606.ENSP00000196371	0
9606.ENSP00000300134	1
9606.ENSP00000181383	0
9606.ENSP00000301365	1
9606.ENSP00000005995	0
9606.ENSP00000301653	1
9606.ENSP00000006015	0
9606.ENSP00000302234	1
9606.ENSP00000181796	0
9606.ENSP00000302324	1
9606.ENSP00000205948	0
9606.ENSP00000303276	1
9606.ENSP00000078429	0
9606.ENSP00000303532	1
9606.ENSP00000205143	0
9606.ENSP00000304915	1
9606.ENSP00000231790	0
9606.ENSP00000305426	1
9606.ENSP00000188790	0
9606.ENSP00000305651	1
9606.ENSP00000216139	0
9606.ENSP00000306157	1
9606.ENSP00000196061	0
9606.ENSP00000306512	1
9606.ENSP00000325120	0
9606.ENSP00000306920	1
9606.ENSP00000215567	0
9606.ENSP00000309521	1
9606.ENSP00000002125	0
9606.ENSP00000316674	1
9606.ENSP00000005284	0
9606.ENSP00000317895	1
9606.ENSP00000005286	0
9606.ENSP00000320936	1
9606.ENSP00000025008	0
9606.ENSP00000320951	1
9606.ENSP00000161559	0
9606.ENSP00000321106	1
9606.ENSP00000340836	0
9606.ENSP00000327763	1
9606.ENSP00000006724	0
9606.ENSP00000328111	1
9606.ENSP00000012443	0
9606.ENSP00000332013	1
9606.ENSP00000006275	0
9606.ENSP00000332049	1
9606.ENSP00000218516	0
9606.ENSP00000332504	1
9606.ENSP00000005386	0
9606.ENSP00000332659	1
9606.ENSP00000005587	0
9606.ENSP00000332812	1
9606.ENSP00000054666	0
9606.ENSP00000333800	1
9606.ENSP00000039007	0
9606.ENSP00000333952	1
9606.ENSP00000045083	0
9606.ENSP00000334644	1
9606.ENSP00000007390	0
9606.ENSP00000335006	1
9606.ENSP00000006526	0
9606.ENSP00000335358	1
9606.ENSP00000008391	0
9606.ENSP00000337432	1
9606.ENSP00000155093	0
9606.ENSP00000337733	1
9606.ENSP00000007699	0
9606.ENSP00000337862	1
9606.ENSP00000011473	0
9606.ENSP00000339804	1
9606.ENSP00000215727	0
9606.ENSP00000343952	1
9606.ENSP00000174618	0
